,,Extension,Extension,Extension,Extension,Extension,Extension,HorzBreak,HorzBreak,HorzBreak,HorzBreak,HorzBreak,HorzBreak,RelHeight,RelHeight,RelHeight,RelHeight,RelHeight,RelHeight,RelSide,RelSide,RelSide,RelSide,RelSide,RelSide,RelSpeed,RelSpeed,RelSpeed,RelSpeed,RelSpeed,RelSpeed,SpinAxis,SpinAxis,SpinAxis,SpinAxis,SpinAxis,SpinAxis,SpinRate,SpinRate,SpinRate,SpinRate,SpinRate,SpinRate,VertBreak,VertBreak,VertBreak,VertBreak,VertBreak,VertBreak,pfxx,pfxx,pfxx,pfxx,pfxx,pfxx,pfxz,pfxz,pfxz,pfxz,pfxz,pfxz
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max,count,mean,std,min,50%,max,count,mean,std,min,50%,max,count,mean,std,min,50%,max,count,mean,std,min,50%,max,count,mean,std,min,50%,max,count,mean,std,min,50%,max,count,mean,std,min,50%,max,count,mean,std,min,50%,max
Pitcher,AutoPitchType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cadola, Tevin",ChangeUp,14.0,6.813926373500001,0.4123590138507756,6.25219379,6.7221907985,7.537133685,14.0,10.08413368635714,3.8548852049955236,0.313819589,11.503300450000001,14.19607887,14.0,5.850192032142856,0.17366603380289955,5.6357360089999995,5.805091593,6.347613971,14.0,1.9953304695,0.5408386825809545,0.972378445,2.1726269975,2.680170668,14.0,83.60130522142856,1.3582270971980017,80.68838565,84.03453262,85.32693827,14.0,217.88773523571427,15.888111012913079,181.562084,218.47417180000002,240.5001387,14.0,1901.0999747142857,275.92181732520595,1572.818542,1832.3206785,2523.0075469999997,14.0,-25.830349237857146,5.162311099630923,-32.87677024,-26.229854445,-17.75031641,14.0,-6.475865218571429,2.294807194259278,-9.137137125,-7.3095014445,-0.333755898,14.0,8.025112845,2.5347203491041737,4.294242651999999,7.891196904999999,12.43822773
"Cadola, Tevin",Curveball,11.0,6.071554206636364,0.28398939364875164,5.813381995,5.914997495,6.517782975,11.0,-6.5042644070909095,3.464059921111989,-11.826473599999998,-7.144695153,-1.2961172140000001,11.0,5.983508534454544,0.06298685009271486,5.8975058879999995,5.972048257000001,6.091378424,11.0,1.693470548090909,0.5314302966827883,0.8385150379999999,1.888641075,2.149469977,11.0,74.89048116727272,2.7785273762724687,70.23210685,75.88340432,77.91186962,11.0,47.89589305545455,20.440955873505885,22.74562481,47.57470948,84.54659298,11.0,2447.8436795454545,187.67724347903487,2114.7296850000002,2542.7588769999998,2635.765206,11.0,-56.24027616818182,6.592565954644553,-68.17724991,-55.92515075,-47.651524,11.0,3.145148163454545,2.010944635993411,-0.307154921,3.6139294339999997,6.169335669,11.0,-3.629558261363637,2.210441506522077,-7.730273131000001,-4.246561808,-0.510745749
"Cadola, Tevin",Fastball,63.0,6.713897023746032,0.1310485922347266,6.340586136000001,6.716152299,6.963873883,63.0,8.29193282695238,4.113029502604443,-4.810124201,8.344386101,14.98493359,63.0,5.691214173222223,0.12030140615543819,5.442039927000001,5.689757563,6.040244175,63.0,2.3086872412539687,0.10897578269381508,2.0410073,2.321798388,2.612487026,63.0,89.4684325074603,1.1788307774429538,87.2872556,89.24285073,92.56407242,63.0,202.93503767777779,12.849597160721189,153.0589541,205.03455,227.53399339999999,63.0,2356.304560206349,80.17493962282605,2241.219933,2343.505298,2652.437226,63.0,-15.438673103333333,3.029850435371981,-26.17415056,-15.39334336,-10.75306738,63.0,-5.524855734841269,2.381718712633533,-9.43197317,-5.8446102820000005,2.281516535,63.0,11.103384644682539,1.6037065681993699,5.604026532000001,10.9722704,13.85792498
"Cadola, Tevin",Other,3.0,6.219500090333334,0.4683143990225053,5.942075491000001,5.956223497000001,6.760201283,3.0,-8.788145307,3.754293986744119,-12.55868041,-8.755449513,-5.050305998,3.0,5.992070203666667,0.048642815966088014,5.938894445,6.002993551,6.034322615,3.0,1.9050158106666666,0.042466037727605904,1.8648642919999998,1.9007142030000002,1.9494689369999998,3.0,79.97469819,5.341150926599198,76.49477044,77.30496022,86.12436391,3.0,107.92791294666665,28.102621467937073,91.11532971,92.29756343,140.3708457,3.0,2527.509038666667,70.91692489311248,2460.0494,2521.038011,2601.4397050000002,3.0,-40.581090960000004,12.323552492952777,-47.928237200000005,-47.46140469,-26.35363099,3.0,4.010722673666667,2.0617869501883224,1.8883242580000001,4.1378265160000005,6.006017247000001,3.0,2.3671143586666665,4.375979645755723,-0.275538916,-0.041369403,7.418251395
"Cadola, Tevin",Slider,19.0,6.2304243382105255,0.20816461326595073,5.7629944,6.238881285,6.685555872999999,19.0,-5.749894897947368,2.0892302569401893,-10.73876433,-5.581033562999999,-2.269484873,19.0,5.978118552947367,0.09792641224114355,5.7702679560000005,5.965619906000001,6.140186532,19.0,1.9203959119999998,0.12322616030158833,1.657709757,1.9458581069999998,2.092206268,19.0,82.45578047421054,2.266669729693108,78.83181559,83.14551262,85.43952401,19.0,110.15293283631581,44.58493297241318,27.31536823,130.6367108,158.6938821,19.0,2527.4580294210527,150.51951347704485,2339.423054,2473.7569940000003,2845.789161,19.0,-38.874493821578945,8.618878555550742,-53.8605652,-35.70121643,-27.77488637,19.0,2.522964078631579,1.2104911996422523,0.497472517,2.45648139,5.261402878999999,19.0,1.43339168968421,3.3885179551911726,-5.069499781,2.834194599,6.001453102999999
"Clark, Jonathan",ChangeUp,35.0,6.102152602285712,0.17370779698168679,5.828251204,6.1210973829999995,6.525569963,35.0,2.249773307057142,9.763922958534668,-16.78695138,7.0414679520000005,15.95638352,35.0,5.7274152347714296,0.30865247093078924,5.150812985,5.895129917999999,6.135957316,35.0,0.5573626010000002,2.3177448685721243,-3.019092987,2.1443777280000003,2.527932986,35.0,79.78506557057143,3.291179676014803,71.9177953,80.77472483,83.0578468,35.0,193.2611856342857,36.790743876128744,119.12016080000001,209.6357157,242.02155919999998,35.0,1673.4461368571428,291.59679658363785,1234.3395070000001,1610.8834470000002,2219.171512,35.0,-30.634780694571425,8.002555497357259,-44.94876792,-31.06841807,-16.49160137,35.0,-1.4641362830000004,6.355012066764336,-9.590529647,-4.636522514,10.29750817,35.0,7.870873362657143,3.053710350857841,4.079322627,7.619947464,14.08031324
"Clark, Jonathan",Curveball,13.0,5.803420395615385,0.17798859424738656,5.378198381,5.80541767,6.217921167,13.0,-7.486338524846153,1.6150587328136117,-10.37119239,-7.367392814,-5.343396015,13.0,6.115708505461539,0.0585742778681889,6.025521638,6.118993734,6.210515362000001,13.0,1.8965856769230767,0.13258222125675975,1.6962529219999998,1.9171489330000002,2.081828286,13.0,73.67349566,1.1656610992239356,71.46362621,73.78759559999999,75.43282952,13.0,40.37001657076923,9.20585265552719,26.93850701,40.41295538,55.91253263,13.0,2180.856287615384,88.37873086628262,2001.5173829999999,2198.3364109999998,2298.4702780000002,13.0,-61.47837514076924,2.559009067353388,-64.50978696,-61.77490397,-56.96250198,13.0,3.4528046096923077,1.0421696181334212,1.919009873,3.5540610989999997,5.074950943,13.0,-5.431166014538461,1.1016912339826899,-6.9540847789999995,-5.710128417000001,-3.20751652
"Clark, Jonathan",Fastball,50.0,6.038756191119997,0.1388497494950208,5.706046115,6.0915906689999995,6.261549129,50.0,10.384561485739999,2.4898764860938702,5.054956836000001,10.22335608,14.87057754,50.0,6.01627341718,0.08732643907038169,5.800260872999999,6.0050576525,6.232006886000001,50.0,2.0965743836399993,0.13023754137927912,1.799500748,2.1147919049999997,2.3221841690000002,50.0,86.9054531548,1.5835999743182059,83.12788607,86.98626637,90.36291224,50.0,205.49017279999995,7.2151602538944974,191.6507338,204.41998259999997,225.40345530000002,50.0,2167.7970060400003,134.43055711056815,1629.9686800000002,2187.099892,2330.1768739999998,50.0,-15.468833092399995,3.442432393651609,-28.74318344,-14.917822245,-11.19449656,50.0,-6.655951376699999,1.398588634860475,-9.122720954,-6.662609369,-3.6640500260000004,50.0,12.662586699579998,1.5855766511787472,7.637651542,13.080670415,15.15181579
"Clark, Jonathan",Other,5.0,5.4788117294,0.1328883895510398,5.327735535,5.497962424,5.6371682629999995,5.0,8.9230803126,3.1569901400044205,4.766608475,8.65997513,12.61837922,5.0,5.311535047,0.05006058779954498,5.241665326000001,5.31688203,5.378594111,5.0,-2.8648950345999995,0.07730502665952532,-2.9476434819999997,-2.883307078,-2.7569295019999998,5.0,66.59243694599999,0.8767490814471701,65.92032366,66.09475742,67.87163346,5.0,246.87686939999998,15.86067795061637,228.5324328,256.8847485,259.82567439999997,5.0,1979.7339050000003,72.90962128883174,1865.952265,2013.9386329999998,2040.142705,5.0,-62.222026252,3.4779562808630473,-65.48567573,-64.13645883,-57.30839084,5.0,-3.8320389336000007,1.529715523064732,-5.427963557000001,-3.6432960530000003,-1.73738485,5.0,1.0012632556,0.7979128591489304,0.291526902,0.758460461,2.207796908
"Clark, Jonathan",Slider,3.0,5.732082615,0.02542057822410285,5.704907316,5.736061251000001,5.755279278,3.0,-8.881955431,3.6086469164636408,-12.22172113,-9.37003606,-5.054109103,3.0,6.094120246333333,0.011104815094412785,6.087120156,6.088316207999999,6.106924375,3.0,1.9651696,0.3748494531574531,1.6988376509999998,1.8028485490000001,2.3938226,3.0,76.78453127666667,0.8562211844327107,76.22440842,76.35903512,77.77015029,3.0,87.03766870999999,63.398255783637254,50.286353399999996,50.58318453,160.24346819999997,3.0,1953.795532666667,510.53540586836,1365.8969730000001,2209.957734,2285.531891,3.0,-49.953829033333335,14.796752094180922,-59.74692314,-57.18227078,-32.93229318,3.0,4.063413853,1.9072675316514907,2.1487083019999997,4.078377947,5.96315531,3.0,-0.688612246666667,7.013634324273861,-4.984570809,-4.48618773,7.404921798999999
