,,Extension,Extension,Extension,Extension,Extension,Extension,HorzBreak,HorzBreak,HorzBreak,HorzBreak,HorzBreak,HorzBreak,RelHeight,RelHeight,RelHeight,RelHeight,RelHeight,RelHeight,RelSide,RelSide,RelSide,RelSide,RelSide,RelSide,RelSpeed,RelSpeed,RelSpeed,RelSpeed,RelSpeed,RelSpeed,SpinAxis,SpinAxis,SpinAxis,SpinAxis,SpinAxis,SpinAxis,SpinRate,SpinRate,SpinRate,SpinRate,SpinRate,SpinRate,VertBreak,VertBreak,VertBreak,VertBreak,VertBreak,VertBreak,pfxx,pfxx,pfxx,pfxx,pfxx,pfxx,pfxz,pfxz,pfxz,pfxz,pfxz,pfxz
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max,count,mean,std,min,50%,max,count,mean,std,min,50%,max,count,mean,std,min,50%,max,count,mean,std,min,50%,max,count,mean,std,min,50%,max,count,mean,std,min,50%,max,count,mean,std,min,50%,max,count,mean,std,min,50%,max
Pitcher,PitcherSet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clawson, Wesley",Stretch,8.0,5.943144925625001,0.12375445921331887,5.7421780270000005,5.9779742895000005,6.103003602999999,8.0,-7.06894318825,6.698836989729359,-14.32802035,-8.9616735665,3.2596864080000003,8.0,6.656989594250001,0.03418222848741401,6.610385772000001,6.6563544960000005,6.704072553,8.0,-1.51046387625,0.09082882852935598,-1.6910673999999999,-1.4895549055000001,-1.41139482,8.0,83.0861893275,4.293285168897086,77.37886863,85.82223303500001,86.45510506,8.0,164.0831063625,24.224247876106553,136.4321939,156.3730445,205.2527041,8.0,1985.899685625,180.97055639111812,1674.46361,1966.4464555,2240.664841,8.0,-23.99116055,10.543837951128479,-40.39787709,-21.419863825,-10.70463088,8.0,4.47479477975,3.7612388428568626,-1.446413986,5.621502061499999,8.645153823,8.0,9.980233745375001,3.982106359448466,3.8213368869999997,10.908943775000001,15.34241164
"Clawson, Wesley",Windup,4.0,5.8112474055000005,0.04580025956068562,5.7775049560000005,5.794971837,5.877540992,4.0,-11.4227245125,1.480886845839398,-12.52408331,-11.9633119,-9.24019094,4.0,6.748167040749999,0.10104200274250277,6.6924929529999995,6.7002761775,6.899622855,4.0,-1.53051076125,0.09206157556798576,-1.6628890369999998,-1.4957820005000002,-1.4675900069999999,4.0,86.29760923250001,0.5860603871953728,85.74992122,86.31225804,86.81599963,4.0,153.26378880000001,3.4104788951841254,150.0885091,152.91790500000002,157.1308361,4.0,2049.1258620000003,96.87973182369728,1939.544627,2042.553141,2171.852539,4.0,-15.4200004825,2.5463151503208334,-17.12173027,-16.458342925,-11.64158581,4.0,7.1118497957499995,0.8683092054847542,5.813574264,7.509052368000001,7.615720183,4.0,13.37500043,0.9608754760834645,12.37558843,13.22113318,14.68214693
"Del Bonta-Smith, Fineas",Stretch,20.0,6.57488924325,0.30631049293826734,6.0625232989999995,6.623539799,7.247761022000001,20.0,5.510666312650001,11.174107790527726,-15.18955192,7.654522791,19.01861427,20.0,5.370379574299999,0.15378159114130757,5.0709922569999994,5.3619288515,5.650263907,20.0,1.53569831085,0.1767732251631255,1.220060346,1.5313625655000003,1.9740834369999998,20.0,87.67787337649999,5.111545557718424,77.81477636,90.197675635,93.05716671,20.0,188.7657014,50.05674741148355,91.30107199999999,206.70136259999998,252.3795917,20.0,2018.873236,169.60642451621578,1450.93919,2023.5576925,2243.250814,20.0,-23.3552238615,10.97856294558566,-43.44306364,-18.68811036,-12.25720877,20.0,-3.7880201910499998,6.359688339910655,-11.72400858,-5.003614794500001,7.894730625,20.0,7.4940507573,3.9857277868949335,0.062152028,8.535454821999998,12.27752892
"Del Bonta-Smith, Fineas",Windup,12.0,6.71999825175,0.27135379664369874,6.1263648139999995,6.776372529500001,7.132380915,12.0,8.239551524083332,9.549929073652281,-9.679709599999999,10.730454609999999,19.59886693,12.0,5.3665797311666665,0.1589868869852306,5.110657382,5.419859419,5.630429715,12.0,1.5772368131666665,0.21796668004310502,1.285296639,1.471535642,1.942197489,12.0,86.98146403416666,4.87654972084888,77.09830951,89.41220852000001,90.53675302,12.0,202.7816186,40.35611860061033,119.31173600000001,211.5091792,255.67704210000002,12.0,1924.8443630833333,224.30097664431156,1430.350238,2022.9251015,2159.6546559999997,12.0,-22.749896904166665,9.640857464988573,-40.59592554,-17.453946185,-14.36197187,12.0,-5.385298780833334,5.548582652470263,-12.68205338,-6.7879799915,4.910784053,12.0,7.941965337583334,3.168868817665867,3.0467948739999997,9.446799523500001,11.23224923
"Ertz, Jackson",Stretch,12.0,7.013416435666666,0.1495112206225005,6.754785349,6.970927113,7.294550592,12.0,5.091736528333333,5.857027231771642,-6.131252289,6.146597252,12.4918695,12.0,6.552827791416667,0.08407343138760233,6.428294772,6.5576777895,6.6479227729999995,12.0,1.1993836870833332,0.12599306561706303,0.928854944,1.1818493714999998,1.389965835,12.0,84.36012854333333,5.273573879985788,73.22125727,86.09519125,89.37897459999999,12.0,191.47545007500003,24.501914928507,130.4587965,198.37488094999998,214.0973124,12.0,1976.0651573333334,109.95055728903873,1761.9420149999999,1994.574301,2182.4150219999997,12.0,-22.423413950833332,11.30619189441315,-46.366952500000004,-18.212564829999998,-11.76133674,12.0,-3.4690643460833335,3.39841430989085,-8.539628268,-4.0875621675,2.609291877,12.0,9.970183839916668,3.682880166469644,2.441121552,11.109986025,13.73918021
"Ertz, Jackson",Windup,10.0,6.959469165100001,0.13757462813081087,6.690663182000001,6.991535127500001,7.1382248520000005,10.0,10.244715000499998,3.752658453013132,3.5583990780000003,12.119372485,13.85974625,10.0,6.5273431077,0.05603886585462627,6.4519812320000005,6.516777405999999,6.614513572999999,10.0,1.3223573316,0.1368353040710966,1.061919948,1.3425159130000002,1.5367013230000002,10.0,86.666519726,0.6482319758777174,85.56939658,86.67857788,87.63701592,10.0,211.32642687000003,11.989343806213066,189.4353529,214.6542551,224.6324431,10.0,1986.2175610000002,80.57274970535278,1823.978122,1984.3066185,2073.859779,10.0,-19.181642935999996,2.4834397529509666,-22.6787487,-19.451242595,-15.03267115,10.0,-6.364406827700001,2.5386450989541314,-8.730532527000001,-7.728254656,-1.7033817759999998,10.0,10.3379449281,1.5346473753857084,8.255586446,9.8265396515,12.77120497
"Giles, Chandler",Stretch,45.0,6.612815582355554,0.24653794471657423,5.914018807000001,6.621462171,7.166369,45.0,3.0487931693111117,5.963843518125311,-18.41177743,4.161852973999999,9.035141641000001,45.0,5.61680563,0.10388543432182372,5.336797488,5.61244118,5.914772772999999,45.0,1.8609013620000001,0.3332430752302438,1.187817103,1.8293612209999999,2.539122542,45.0,84.71103163422221,4.277803209665702,69.16981514,85.59178669,88.03254096,45.0,185.98833349600002,35.33740373272968,57.77744457,193.8782072,214.1821205,45.0,2268.441175711111,126.16791396183908,1616.849325,2271.049035,2509.845147,45.0,-23.31210741155556,12.658749171181816,-69.73807033,-19.66898334,-14.54084789,45.0,-2.2149305017777783,3.3179440907594864,-5.506991971000001,-2.982631503,9.346220114,45.0,8.852009745622226,4.231245064178948,-6.589470397,9.99896441,13.44135018
"Giles, Chandler",Windup,26.0,6.742034946653845,0.21435532815253025,6.247734111000001,6.7370664835,7.139639643,26.0,1.0224363863461539,7.356297849687702,-20.71453619,2.9810357575,8.853846715,26.0,5.5810059892307695,0.12260242578669814,5.310346972,5.577353382,5.842104612000001,26.0,1.6003480801153844,0.21132704844379052,1.200300092,1.572049839,2.147870723,26.0,84.42297479961537,5.448897669444634,69.50645606,86.14098197,88.82393555,26.0,177.2463994903846,47.22978677918826,40.34391404,191.2340294,221.0737371,26.0,2230.142718730768,193.571373730178,1443.807525,2254.9948164999996,2518.4927239999997,26.0,-26.705479526923074,16.28649962403337,-70.53008646,-20.95258712,-15.78778794,26.0,-1.1359429441538462,4.161325040367097,-5.7668320689999994,-2.175147346,11.18696579,26.0,7.057074400346153,5.682470516782633,-8.542419798,8.8882240755,11.137326199999999
"Granillo, Andre",Stretch,25.0,6.376774277639999,0.34302285709102454,5.66611285,6.441961178,6.952103985,25.0,3.782130032520001,10.239494137618571,-16.82803011,6.7507297070000005,19.09908975,25.0,6.122552656959999,0.30731449640238445,5.568889853,6.260872976,6.43100273,25.0,1.1315738444399996,0.7989439938945909,0.335468274,0.715964308,2.512411536,25.0,83.8551148148,8.197747487183111,67.03913686,88.13869575,90.01624657,25.0,175.73083734239998,63.171898118786366,49.05454764,197.62356780000002,251.3250909,25.0,2215.5556839600004,197.59010225284973,1842.6974710000002,2220.846739,2524.494354,25.0,-28.420416114959995,22.746567212334828,-74.54294113,-15.85462272,-9.191283774,25.0,-2.764866067279999,6.121045040225156,-12.21846068,-4.451384861,9.293646051,25.0,7.35779674144,7.431886739016382,-7.160656925,10.80398498,14.52692986
"Granillo, Andre",Windup,8.0,6.28165635675,0.16939918679279295,5.991883307,6.257816064,6.5847883220000005,8.0,7.86924741725,4.413697629281509,2.2467806830000003,8.334742837,15.04897788,8.0,6.35041557125,0.13068880881738956,6.204651759,6.320176797,6.5604538329999995,8.0,0.7834378263749999,0.1562793752362275,0.569734741,0.8257466635,1.008050356,8.0,88.95723601125,1.3814602390057822,87.59497936,88.56912339499999,91.37082978,8.0,201.0544263875,12.135024887186587,186.00430759999998,201.64871614999998,223.0562491,8.0,2192.2820487500003,109.93739493801958,2062.924153,2172.302365,2366.313668,8.0,-15.2004940525,2.70361411282453,-18.30618139,-15.80951598,-10.13406517,8.0,-4.87282616425,2.360997857309394,-8.490755206000001,-5.408499961,-1.654594282,8.0,11.761443862750001,1.7500485646155788,9.415496644,11.74744516,14.70658231
